,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
4637,10270112800101A,A0001,0,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาศิลปะและการออกแบบ,ภาษาไทย ปกติ,,Admission,29.7694,61.2526,21.225,61.2526,27.5171,28.3247,27.5171,20.0,"{'gpax': 30, 'tgat': 20, 'tpat21': 50}"
4638,10270112800201A,A0001,0,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาดนตรี และนาฏศิลป์  (แขนงดนตรี),ภาษาไทย ปกติ,,Admission,0.0,42.5276,0.0,0.0,0.0,0.0,0.0,10.0,"{'gpax': 30, 'tgat': 20, 'tpat22': 50}"
4639,10270112800401A,A0001,0,หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาดนตรี และนาฏศิลป์  (แขนงนาฏศิลป์),ภาษาไทย ปกติ,,Admission,24.075,65.311,25.3888,65.311,28.5879,29.7576,28.5879,10.0,"{'gpax': 30, 'tgat': 20, 'tpat23': 50}"
4640,10270113110101A,A0001,0,หลักสูตรกายภาพบำบัดบัณฑิต,ภาษาไทย ปกติ,,Admission,52.7694,56.9776,52.0858,56.4388,52.0815,53.2184,52.0815,33.0,"{'gpax': 10, 'tgat': 40, 'a_lv_64': 25, 'a_lv_66': 25}"
4641,10270113111301A,A0001,0,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,ภาษาไทย ปกติ,,Admission,44.6304,49.8366,44.095,49.6066,46.3733,47.6787,47.9203,50.0,"{'tgat': 20, 'a_lv_61': 10, 'a_lv_65': 30, 'a_lv_66': 30, 'a_lv_82': 10}"
4642,10270114213101A,A0001,0,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม,ภาษาไทย ปกติ,,Admission,16.25,62.2828,16.25,62.2828,15.6204,16.6118,15.6204,50.0,"{'gpax': 20, 'tgat': 80}"
4643,10270114213102F,A0001,0,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการพลังงานและสิ่งแวดล้อม และหลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาการจัดการพลังงานและนวัตกรรม),Double Degree - ภาษาไทย ปกติ,,Admission,12.25,47.7689,29.8775,47.7689,31.8837,32.8219,31.8837,20.0,"{'gpax': 20, 'tgat': 50, 'tpat3': 30}"
4644,10270114302801A,A0001,0,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,ภาษาไทย ปกติ,,Admission,11.75,56.2413,16.0,56.2,19.7634,20.6661,19.7634,50.0,"{'gpax': 20, 'tgat': 30, 'tpat3': 50}"
4645,10270114302802F,A0001,0,การจัดการศึกษาหลักสูตรระดับปริญญาตรีควบปริญญาโท (หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม และหลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม),Double Degree - ภาษาไทย ปกติ,,Admission,29.0499,53.9915,29.0499,53.9915,32.8133,33.716,32.8133,20.0,"{'gpax': 20, 'tgat': 30, 'tpat3': 50}"
4646,10270119120101A,A0001,0,หลักสูตรทันตแพทยศาสตรบัณฑิต,ภาษาไทย ปกติ,,Admission,62.152,63.8009,61.9612,63.8009,61.1615,62.1516,59.1813,22.0,"{'tpat1': 30, 'a_lv_61': 14, 'a_lv_70': 7, 'a_lv_81': 7, 'a_lv_82': 14, 'cal_type': '1', 'cal_score_sum': 28, 'cal_subject_name': 'a_lv_64 a_lv_65 a_lv_66'}"
